部品番号,部品名,シンワ倉庫,アラン,ゆーや,しゅん,たくや,合計,最終更新
580300,カートリッジ,33,25,10,5,11,84,7/17 15:44
35567,ミルクセンサー,0,5,4,4,4,17,7/18 15:23
27313,カバーキャップ,71,62,-10,24,18,165,7/18 15:25
36652,コンプレッサー,4,1,1,1,2,9,7/16 08:31
800100,排水ホース,61,3,2,3,3,72,7/9 18:44
12922,XT8　Barポンプ,1,0,0,0,0,1,5/31 19:15
14025,SCREW ISO 7380 M3x8-A2,8,0,10,0,6,24,6/29 17:41
16857,BAR/CupBFフローメーター,0,1,1,0,1,3,7/6 10:30
16966,バーキューブ　グラインダーコンデンサ,0,0,0,0,0,0,5/31 19:15
17063,カス受けセンサー,3,0,0,0,1,4,6/30 13:51
18196,ビス,0,0,0,0,0,0,5/31 19:15
19465,ALP/CUPプロコンポンプ,0,0,0,0,0,0,5/31 19:15
20031,バーキューブ　電磁弁3/2,5,0,0,0,0,5,5/31 19:15
20040,バーキューブ　コーヒーアウトレットカバー,0,0,0,0,0,0,5/31 19:15
20070,バーキューブ　パワー基板,0,0,0,0,0,0,5/31 19:15
20126,バーキューブ　クリップ　スナップリング,7,0,0,0,0,7,5/31 19:15
20134,プレッシャーセンサー（圧力センサー）,0,1,0,0,0,1,5/31 19:15
20153,バーキューブ　リードスイッチ,1,0,2,1,0,4,5/31 19:15
20171,Oリング19.5×2.5,0,2,-4,2,0,0,5/31 19:15
20227,バーキューブ　電磁弁スチーム,1,0,0,0,0,1,5/31 19:15
20355,Bar オーリング 5×1.5,3,0,0,0,0,3,5/31 19:15
20580,RestrictorD2.1/0.3,1,0,1,0,0,2,5/31 19:15
20715,バーキューブ　ディスプレイLCD,0,0,0,0,0,0,5/31 19:15
20759,バーキューブ　マイクロスイッチ,3,0,0,0,0,3,5/31 19:15
21658,190ON/OFFスイッチ2009,0,0,0,0,0,0,6/19 09:35
21661,バーキューブ　MCメインスイッチ,0,0,1,2,1,4,6/28 18:11
22081,c35mcsコンプレッサー,2,0,0,0,0,2,5/31 19:15
22132,C35フロントカバーcompl,0,1,0,0,0,1,5/31 19:15
22239,Hollow screw boiler-1,0,0,0,0,0,0,5/31 19:15
22284,C35コンプレッサー下置き,0,0,0,0,0,0,5/31 19:15
22335,TコネクションD6,1,2,1,1,2,7,7/18 15:22
22337,エルボーコネクションTYPE FITTING D4,3,1,2,0,1,7,7/14 19:02
22338,LコネクターD6-D6,3,3,0,2,0,8,5/31 19:15
22339,ALPエルボーD6-D6,9,0,2,3,3,17,7/9 10:29
22340,ALPエルボユニオンD4-G1/8,5,4,1,2,0,12,5/31 19:15
22341,Elbow union D4-5,4,2,2,2,0,10,5/31 19:15
22343,ALP継ぎ手D6G1-8,3,2,4,4,0,13,5/31 19:15
22345,YプラグD6,13,15,1,10,10,49,7/18 15:27
22346,Y型コネクターD6-D4,15,14,4,12,12,57,7/18 15:27
22350,ストレートバルブヘッドフィッティングD6-G1/18,9,1,2,0,0,12,5/31 19:15
22351,ストレートプラグD4,2,2,2,1,2,9,5/31 19:15
22352,C5コネクター,3,0,1,2,0,6,5/31 19:15
22356,リダクションD6-D4,0,0,0,0,0,0,5/31 19:15
22358,T字コネクションD4,0,0,1,1,1,3,6/23 17:29
22359,ALP継手D6-G1/4（ポンプ用ワンタッチニップル）,4,2,0,0,0,6,5/31 19:15
22360,コネクターD6-G1/8,7,9,3,0,4,23,5/31 19:15
22363,Double plug nipple D6（鉄心D6）,1,4,2,0,0,7,5/31 19:15
22366,ストレートソケットD6-G1/8,2,1,2,0,0,5,5/31 19:15
22367,ユニオンD4-G1/8,1,1,0,0,0,2,5/31 19:15
22394,スクリューロック G1/8,1,0,0,0,0,1,5/31 19:15
22395,SwivellingThreadedElbow,0,0,0,0,0,0,5/31 19:15
22509,スナップリング 10.82×1.78,0,0,0,0,0,0,5/31 19:15
22851,Bar-cube II ﾒｲﾝ基板,0,0,0,0,0,0,5/31 19:15
22880,バーキューブ　コントロールカード,0,0,0,0,0,0,5/31 19:15
22933,インスタントアダプタ部Oリング,3,9,0,0,0,12,7/3 19:26
23006,Door mc35 compl. TM,0,0,0,0,0,0,5/31 19:15
23027,ボルト,0,0,0,0,0,0,5/31 19:15
23030,バーキューブ　ピストンASSY,2,0,0,0,0,2,5/31 19:15
23034,Bar-cube?フィリングチャンバーカバー,1,1,0,0,0,2,5/31 19:15
23288,Door internal leaf cooling cell mc35 - 9,0,0,0,0,0,0,5/31 19:15
23835,バーキューブ　Oリング14×1.6,1,0,0,0,0,1,5/31 19:15
24278,ケーブル受け側　ミルク,0,0,0,0,0,0,5/31 19:15
24724,メンテナンスSetポンプヘッド,0,1,0,0,0,1,5/31 19:15
24931,バーキューブ　スタンプ,5,0,0,0,0,5,5/31 19:15
24932,バーキューブ　スリーブ,2,0,0,0,0,2,5/31 19:15
24998,ボイラーOリング,11,1,4,1,2,19,7/15 23:46
25039,Sealing ring slim D=45 シーリングリング,2,0,0,0,0,2,5/31 19:15
25040,ALPスケラップ・シールリングBK,0,1,2,1,0,4,7/17 16:47
25124,screw joint for electrode,0,2,2,1,1,6,5/31 19:15
25127,水位センサースリーブ,0,0,1,1,0,2,7/13 12:12
25134,XT8　c35　温度センサー,1,0,0,1,0,2,5/31 19:15
25177,安全弁 4bar D6（スチームボイラー）,0,2,0,0,1,3,5/31 19:15
25178,バーキューブ　安全弁10bar,4,1,2,1,1,9,5/31 19:15
25262,コントロールボード,1,0,1,0,0,2,5/31 19:15
25263,コントロールボード,0,1,1,0,1,3,6/9 16:41
25319,バーキューブ　電磁弁2/2D1.5,5,0,0,0,0,5,5/31 19:15
25320,バーキューブ　電磁弁3/2D1.5,6,0,0,0,0,6,5/31 19:15
25363,AMCクリーナー(35289),0,0,0,0,0,0,5/31 19:15
25369,LコネクターD6-D4,3,3,2,2,1,11,5/31 19:15
25380,新ヒーターシール45.5×22×5(800139),-5,0,3,0,0,-2,5/31 19:15
25401,パワーサプライ,2,1,1,1,1,6,7/11 10:26
25410,カットアウト サーマルスイッチ,0,0,1,0,1,2,5/31 19:15
25412,ALPEGOジョイントスクリューシーリング,11,5,0,0,0,16,5/31 19:15
25436,インスタントコンテナ. XT,2,0,0,0,0,2,5/31 19:15
25472,Ｔ-SCREW-ON VALVE,0,2,2,1,2,7,5/31 19:15
25584,プッシュ-オープン,1,1,2,1,1,6,7/1 12:16
25590,Oリング13×1.5,0,0,0,0,1,1,5/31 19:15
25617,バルブY30 Y32 Y33 Y34 Y35 Y37 Y10 Y12 Y14 Y15,0,10,4,3,0,17,7/13 16:13
25619,電磁弁Y36,4,2,2,2,1,11,7/10 12:08
25620,スチームミルクバルブ　Y90,27,2,1,2,6,38,7/11 15:05
25621,電磁弁Y91,1,0,1,1,1,4,6/29 15:09
25622,XT プロコン 給水ポンプ,3,1,1,0,1,6,7/16 08:32
25651,BOTTOM OUTLET COVER,0,1,1,0,0,2,7/13 14:40
25653,アウトレットノズル　左,0,1,1,0,0,2,5/31 19:15
25654,OUTLET NOZZLE RIGHT,2,0,1,0,0,3,5/31 19:15
25656,インスタント　チューブ XT,1,1,1,0,0,3,5/31 19:15
25657,コネクターミキサーチューブ,0,0,0,0,0,0,5/31 19:15
25658,ドリップトレイ,1,1,1,1,1,5,7/18 15:23
25671,豆ボッパー大,0,0,0,0,0,0,5/31 19:15
25711,MCキーシリンダー,0,0,1,0,1,2,5/31 19:15
25715,イルミネーション アウトレット,0,0,0,0,0,0,5/31 19:15
25726,逆止弁 D4,3,-1,3,1,3,9,7/3 14:04
25727,ELBOW PLUG-TYPE FITTING D4-D4,5,2,3,1,3,14,5/31 19:15
25742,Rotary damper FRN-C2,0,0,0,0,0,0,5/31 19:15
25749,スナップロック カップリング,0,0,0,0,0,0,5/31 19:15
25755,C35ドロワードアロック,1,1,1,0,0,3,5/31 19:15
25761,バーキューブ　マノメーター0.25bar,0,1,0,0,0,1,5/31 19:15
25762,マノメーター ポンプ圧 0-10barG1/8,4,1,2,1,0,8,5/31 19:15
25763,マノメーター　スチーム圧　蒸気0-4barG1/8,0,0,0,0,1,1,5/31 19:15
25845,CT8 コーヒーファンネル,0,0,0,0,0,0,5/31 19:15
25952,CT8 アウトレットノズル　ミルクフォーム,0,0,0,0,0,0,5/31 19:15
25953,CT8 アウトレットノズル　コーヒー,1,0,0,0,0,1,5/31 19:15
25954,CT8 抽出口カバー,0,0,0,0,0,0,5/31 19:15
25956,ギアモーター　24v DC,3,0,1,0,1,5,5/31 19:15
25990,ドリップトレー18,0,0,0,1,1,2,7/17 12:09
25991,フェイプレート　ドリップトレー18,2,1,1,0,1,5,7/3 19:31
25999,フェースプレートlower part 18,2,1,1,1,0,5,7/18 15:23
26016,トゥーオーダー用パネル,0,0,0,0,0,0,5/31 19:15
26021,エンコーダーグラインダーXT,0,0,1,1,0,2,5/31 19:15
26022,ボイラーカバー,3,0,0,0,0,3,5/31 19:15
26042,XTグラインダー シーリングリング,2,1,0,1,0,4,5/31 19:15
26043,Reinforced hose DN 8 G 3／4 4×8ミリ　1.5m,0,0,0,0,0,0,5/31 19:15
26090,ボイラー1.05Ｌ,3,1,0,1,2,7,7/16 13:10
26166,Yコネ D4,-1,0,2,1,0,2,5/31 19:15
26218,Assy. MM I 8.4 XT6 (タッチパネル),0,0,0,0,0,0,5/31 19:15
26236,グラインダー ファンネル,0,0,0,0,0,0,5/31 19:15
26238,ミルクポンプFG109,4,1,2,3,3,13,7/11 15:03
26248,CT8 ピストン,5,0,1,1,1,8,7/11 15:11
26249,TプラグソケットD6,1,1,1,1,0,4,7/16 18:52
26346,ハンドル SC,0,0,0,0,0,0,5/31 19:15
26378,過昇防止スチームボイラー,2,2,1,0,0,5,5/31 19:15
26383,XT6ピストンアダプター（マシン側）,0,2,1,0,0,3,5/31 19:15
26398,Wiring MST to door cpl.XT6,0,1,0,0,1,2,5/31 19:15
26405,W. inlet block +check valve,1,1,1,0,0,3,5/31 19:15
26406,XT8 チューブ　スチーム,0,0,0,0,0,0,5/31 19:15
26421,フロントパネル,0,0,0,0,0,0,5/31 19:15
26434,オーリング 13×3,0,0,0,0,0,0,5/31 19:15
26436,Assy. grounds drawer 30,0,0,0,0,0,0,5/31 19:15
26448,フィンガープロテクション　CT8,0,0,0,0,0,0,5/31 19:15
26456,タッチパネルOPERATING PANEL XT,0,0,0,0,0,0,5/31 19:15
26537,Collapsible key,3,0,0,0,0,3,5/31 19:15
26544,インスタントコンプリートカバー,0,0,0,0,0,0,5/31 19:15
26571,Reed switch round D4.0×25.5mm,3,1,0,0,0,4,5/31 19:15
26573,アジャスティングモーターXT,0,0,0,1,1,2,7/4 17:23
26587,クリーニングチャンバー受け側,1,1,1,1,1,5,6/3 11:51
26588,タブレットチャンバー,0,1,0,0,0,1,5/31 19:15
26599,スチームノズル,3,0,0,0,1,4,7/12 10:42
26619,コネクターソケットC20（電源）,0,0,0,0,0,0,5/31 19:15
26620,グラインダー　スイッチ,1,1,2,1,0,5,6/25 22:28
26632,シーリングリリーフバルブ Y11,0,0,2,0,0,2,5/31 19:15
26633,Mains cable w EU plug c19,0,0,0,0,0,0,5/31 19:15
26643,Assy. distributor coffee+milk,0,0,0,0,0,0,5/31 19:15
26672,コントロールボード MST-CW30,0,0,0,0,0,0,5/31 19:15
26685,Snap-in mounting foot EPDM,0,0,0,0,0,0,5/31 19:15
26713,フロントイルミネーションASSY,0,0,0,0,0,0,5/31 19:15
26731,ミルクドアMC 18,0,0,0,0,0,0,5/31 19:15
26743,Connector milk cpl,0,0,0,0,0,0,5/31 19:15
26896,Probe L=75mm angled 90°水位センサー,0,1,1,1,1,4,7/15 16:58
26904,リードスイッチ,1,1,1,1,1,5,6/11 12:00
26907,ミキサーチャンバー,0,1,0,0,0,1,5/31 19:15
26908,ミキサーチャンバーupper part,0,1,0,0,0,1,5/31 19:15
26909,ミキサーホイール,0,0,0,0,0,0,5/31 19:15
26910,フランジ,0,1,0,0,0,1,5/31 19:15
26911,ミキサーモーター,2,0,1,0,1,4,5/31 19:15
27013,ミルク1セレクトバルブ Y71,6,3,3,0,5,17,7/12 10:45
27065,C35 電磁弁 Y89-Y88,0,0,0,0,0,0,5/31 19:15
27066,バルブグループ Y90-Y83-Y82-Y2,0,1,0,0,0,1,5/31 19:15
27276,チューブアングル100×100,0,0,0,0,0,0,5/31 19:15
27440,シーリング　キャップ D6,0,0,1,0,0,1,5/31 19:15
27442,Assy. steam wand CT8,0,0,0,0,1,1,5/31 19:15
27508,ヒューズ 4A XT,5,1,0,0,0,6,5/31 19:15
27550,MEMBRANE SOLENOID VALVE (35481),0,0,1,0,0,1,5/31 19:15
27612,ALP/c35/C5逆止弁D6S,17,0,0,1,2,20,7/6 10:24
